date,time,lat,lon,speed
2016-04-02,14:51:08,31.747748,34.994266,4
2016-04-02,14:51:10,31.747743,34.994223,4
2016-04-02,14:51:12,31.747734,34.994185,4
2016-04-02,14:51:14,31.74772,34.994147,4
2016-04-02,14:51:15,31.747715,34.994127,4
2016-04-02,14:51:16,31.747707,34.994112,4
2016-04-02,14:51:18,31.747696,34.994078,4
2016-04-02,14:51:20,31.747688,34.994046,4
2016-04-02,14:51:21,31.747689,34.99402,4
2016-04-02,14:51:22,31.747688,34.994,4
2016-04-02,14:51:23,31.747686,34.993981,4
2016-04-02,14:51:25,31.747674,34.993943,4
2016-04-02,14:51:26,31.747668,34.993925,4
2016-04-02,14:51:27,31.74766,34.993907,4
2016-04-02,14:51:29,31.74764,34.993873,4
2016-04-02,14:51:31,31.747622,34.993844,4
2016-04-02,14:51:32,31.747615,34.993834,4
2016-04-02,14:51:34,31.747617,34.993805,4
2016-04-02,14:51:36,31.747621,34.99377,4
2016-04-02,14:51:38,31.747627,34.993744,4
2016-04-02,14:51:40,31.747623,34.99371,3
2016-04-02,14:51:41,31.747618,34.993691,3
2016-04-02,14:51:42,31.747612,34.993674,3
2016-04-02,14:51:44,31.747592,34.993636,3
2016-04-02,14:51:46,31.747574,34.993605,3
2016-04-02,14:51:47,31.747557,34.993596,3
2016-04-02,14:51:48,31.747545,34.993586,3
2016-04-02,14:51:49,31.747533,34.993575,3
2016-04-02,14:51:51,31.747511,34.993557,3
2016-04-02,14:51:53,31.747491,34.993557,3
2016-04-02,14:51:54,31.747482,34.993554,3
2016-04-02,14:51:56,31.747464,34.99354,3
2016-04-02,14:51:58,31.747449,34.993523,3
2016-04-02,14:51:59,31.747441,34.993514,3
2016-04-02,14:52:01,31.74742,34.993503,3
2016-04-02,14:52:03,31.747412,34.993488,3
2016-04-02,14:52:04,31.747405,34.993491,3
2016-04-02,14:52:05,31.747401,34.9935,3
2016-04-02,14:52:07,31.747397,34.993517,3
2016-04-02,14:52:09,31.747398,34.99353,3
2016-04-02,14:52:10,31.747398,34.993533,3
2016-04-02,14:52:11,31.747398,34.993532,3
2016-04-02,14:52:13,31.747382,34.993518,3
2016-04-02,14:52:15,31.747359,34.993505,3
2016-04-02,14:52:17,31.747335,34.993454,3
2016-04-02,14:52:18,31.747322,34.993438,3
2016-04-02,14:52:19,31.747305,34.993423,3
2016-04-02,14:52:20,31.747289,34.99341,3
2016-04-02,14:52:21,31.74727,34.993398,3
2016-04-02,14:52:23,31.747236,34.993378,3
2016-04-02,14:52:24,31.747219,34.993367,3
2016-04-02,14:52:25,31.747204,34.993355,3
2016-04-02,14:52:27,31.747169,34.993328,3
2016-04-02,14:52:29,31.747133,34.993298,3
2016-04-02,14:52:31,31.747096,34.993275,3
2016-04-02,14:52:33,31.747061,34.993277,3
2016-04-02,14:52:34,31.747044,34.993276,3
2016-04-02,14:52:36,31.747013,34.993269,3
2016-04-02,14:52:37,31.746997,34.993268,3
2016-04-02,14:52:39,31.74697,34.993272,3
2016-04-02,14:52:41,31.746943,34.993279,3
2016-04-02,14:52:42,31.746931,34.993283,3
2016-04-02,14:52:43,31.746918,34.993287,3
2016-04-02,14:52:44,31.746906,34.993289,3
2016-04-02,14:52:45,31.746894,34.993292,3
2016-04-02,14:52:47,31.746874,34.993295,3
